Word,IPA,Translation,Meaning,Meaning_Translation,Example,Example_Translation,Image,Sound,Sound_Meaning,Sound_Example
caterpillar,kætəpɪlə,毛毛蟲,A caterpillar is the worm-like larval stage of a butterfly or moth.,「毛毛蟲」是蝴蝶或蛾的蠕蟲狀幼蟲階段。,The caterpillar crawled slowly along the leaf.,毛毛蟲沿著葉子緩慢爬行。,caterpillar_1397924728921.jpg,caterpillar_1397924728921_1397924728921.mp3,,
cricket,krɪkɪt,蟋蟀,A cricket is a small insect known for its chirping sound at night.,「蟋蟀」是夜間會發出唧唧聲的小型昆蟲。,Crickets sang outside our window all evening.,蟋蟀整晚在我們窗外鳴叫。,cricket_1397924728921.jpg,cricket_1397924728921_1397924728921.mp3,,
firefly,faɪəflaɪ,螢火蟲,A firefly is a beetle that glows in the dark to attract mates.,「螢火蟲」是會在黑暗中發光以吸引伴侶的甲蟲。,Fireflies lit up the summer field like tiny stars.,螢火蟲像小星星般照亮夏夜田野。,firefly_1397924728921.jpg,firefly.mp3,,
grasshopper,grɑːsˌhɔpə,蚱蜢,A grasshopper is a jumping insect with long hind legs.,「蚱蜢」是後腿長、善於跳躍的昆蟲。,Grasshoppers leap away when you approach.,蚱蜢在你靠近時跳開。,grasshopper_1397924728921.jpg,grasshopper.mp3,,
ladybug,leɪdɪbʌg,瓢蟲,A ladybug is a small round beetle with red wings and black spots.,「瓢蟲」是紅色翅膀帶黑點的小型圓形甲蟲。,Ladybugs are considered good luck in many cultures.,瓢蟲在許多文化中被視為幸運象徵。,ladybug_1397924728921.jpg,ladybug.mp3,,
mosquito,mɔs'kiːtəu,蚊子,A mosquito is a small flying insect that bites and sucks blood.,「蚊子」是會叮咬並吸血的小型飛行昆蟲。,Mosquitoes buzz around your ears at dusk.,蚊子在黃昏時在你耳邊嗡嗡叫。,mosquito_1397924728921.jpg,mosquito.mp3,,
moth,mɔθ,飛蛾,A moth is a nocturnal insect similar to a butterfly but usually dull-colored.,「蛾」是夜行性昆蟲，類似蝴蝶但通常顏色暗淡。,Moths fluttered around the porch light.,飛蛾在門廊燈周圍飛舞。,moth_1397924728921.jpg,moth.mp3,,
apple pie,æplˌpaɪ,蘋果派,Apple pie is a dessert made of baked apples in a pastry crust.,「蘋果派」是用烤蘋果和酥皮製成的甜點。,She served warm apple pie with vanilla ice cream.,她端上熱蘋果派配香草冰淇淋。,apple pie_1397924728921.jpg,apple pie_1397924728921.mp3,,
cereal,sɪərɪəl,穀物早餐,Cereal is a breakfast food made from grains often eaten with milk.,「穀物早餐」是由穀物製成的早餐食品，常搭配牛奶食用。,He poured cornflakes into a bowl for breakfast.,他早餐把玉米片倒進碗裡。,cereal_1397924728921.jpg,cereal_1397924728921_1397924728921.mp3,,
hamburger,hæmˌbɜːgə,漢堡,A hamburger is a sandwich with a ground beef patty in a round bun.,「漢堡」是圓麵包夾著牛肉餅的三明治。,He ordered a cheeseburger with fries.,他點了一份起司漢堡配薯條。,hamburger_1397924728921.jpg,hamburger.mp3,,
salad,sæləd,沙拉,A salad is a dish of raw vegetables often with dressing.,「沙拉」是生蔬菜組成的菜餚，常加沙拉醬。,We had a fresh green salad with dinner.,我們晚餐吃了新鮮的綠色沙拉。,salad_1397924728921.jpg,salad_1397924728921.mp3,,
sandwich,sænwɪʤ,三明治,A sandwich is two slices of bread with meat cheese or vegetables in between.,「三明治」是兩片麵包夾肉、起司或蔬菜的食物。,She made a peanut butter and jelly sandwich.,她做了花生醬果醬三明治。,sandwich_1397924728921.jpg,sandwich.mp3,,
taco,tækəu,墨西哥捲餅,A taco is a Mexican dish with a folded tortilla filled with meat cheese and vegetables.,「塔可」是墨西哥料理，用折疊的玉米餅包入肉、起司和蔬菜。,We ate tacos with salsa and guacamole.,我們吃塔可配莎莎醬和酪梨醬。,taco_1397924728921.jpg,taco.mp3,,
avocado,ˌævə'kɑːdəu,酪梨,An avocado is a green creamy fruit with a large pit often used in salads or guacamole.,「酪梨」是綠色、口感滑順、有大籽的水果，常用於沙拉或酪梨醬。,Avocados are rich in healthy fats.,酪梨富含健康脂肪。,avocado_1397924728921.jpg,avocado.mp3,,
cherry,ʧerɪ,櫻桃,A cherry is a small round red or black fruit with a single hard seed.,「櫻桃」是小而圓、紅色或黑色、含一顆硬籽的水果。,She picked cherries from the tree in June.,她在六月從樹上摘櫻桃。,cherry_1397924728921.jpg,cherry.mp3,,
coconut,kəukənʌt,椰子,A coconut is a large brown tropical fruit with hard shell and white flesh inside.,「椰子」是大型棕色熱帶水果，外殼堅硬，內部有白色果肉。,Coconut milk is used in many Thai dishes.,椰奶用於許多泰式料理。,coconut_1397924728921.jpg,coconut.mp3,,
fig,fɪg,無花果,A fig is a soft sweet fruit with many tiny seeds inside.,「無花果」是柔軟香甜、內含許多小籽的水果。,Fresh figs taste delicious with honey and cheese.,新鮮無花果搭配蜂蜜和起司非常美味。,fig_1397924728921.jpg,fig.mp3,,
grapefruit,greɪpfruːt,葡萄柚,A grapefruit is a large citrus fruit with a slightly bitter taste.,「葡萄柚」是大型柑橘類水果，味道微苦。,She eats half a grapefruit every morning.,她每天早上吃半顆葡萄柚。,grapefruit_1397924728921.jpg,grapefruit_1397924728921_1397924728921.mp3,,
peach,piːʧ,桃子,A peach is a juicy fuzzy-skinned fruit with a sweet flavor.,「桃子」是多汁、表皮有絨毛、味道甜美的水果。,He bit into a ripe peach and juice dripped down his chin.,他咬了一口熟透的桃子，果汁順著下巴流下。,peach_1397924728921.jpg,peach.mp3,,
pear,peə,梨子,A pear is a sweet fruit shaped like a teardrop with soft grainy flesh.,「梨子」是淚滴形、甜美、果肉柔軟帶顆粒感的水果。,She baked pears with cinnamon for dessert.,她用肉桂烤梨當甜點。,pear_1397924728921.jpg,pearl.mp3,,
pineapple,paɪnæpl,鳳梨,A pineapple is a tropical fruit with spiky skin and sweet tangy yellow flesh.,「鳳梨」是熱帶水果，外皮有刺，果肉黃色、酸甜多汁。,Pineapple chunks are great on pizza or in smoothies.,鳳梨塊加在披薩或思慕昔裡都很棒。,pineapple_1397924728921.jpg,pineapple.mp3,,
pomegranate,pɔmɪˌgrænɪt,石榴,A pomegranate is a red fruit filled with juicy seed-like arils.,「石榴」是紅色水果，內部充滿多汁的種子狀果粒。,Pomegranate seeds add color and crunch to salads.,石榴籽為沙拉增添色彩和脆感。,pomegranate_1397924728921.jpg,pomegranate.mp3,,
almond,ɑːmənd,杏仁,An almond is a nutritious nut with a mild sweet taste.,「杏仁」是營養豐富、味道溫和微甜的堅果。,She sprinkled sliced almonds on her yogurt.,她在優格上撒了杏仁片。,almond_1397924728921.jpg,almond.mp3,,
chestnut,ʧesnʌt,栗子,A chestnut is a shiny brown nut that’s often roasted in winter.,「栗子」是光亮的棕色堅果，常在冬天烘烤食用。,Roasted chestnuts smell wonderful at holiday markets.,節慶市集的烤栗子聞起來很香。,chestnut_1397924728921.jpg,chestnut.mp3,,
peanut,piːnʌt,花生,A peanut is a legume often eaten roasted or made into peanut butter.,「花生」是豆科植物，常烘烤食用或製成花生醬。,He spread peanut butter on toast for a snack.,他把花生醬塗在吐司上當點心。,peanut_1397924728921.jpg,peanut.mp3,,
pecan,piːkæn,山核桃,A pecan is a rich buttery nut used in pies and desserts.,「山核桃」是風味濃郁、如奶油般的堅果，常用於派和甜點。,Pecan pie is a classic Southern dessert.,胡桃派是經典的南方甜點。,pecan_1397924728921.jpg,pecan.mp3,,
pistachio,pɪ'stɑːʃɪəu,開心果,A pistachio is a green nut with a slightly sweet flavor often sold in shells.,「開心果」是綠色堅果，味道微甜，常帶殼販售。,She cracked open a pistachio with her fingers.,她用手指剝開一顆開心果。,pistachio_1397924728921.jpg,pistachio_1397924728921.mp3,,
walnut,wɔːlnʌt,核桃,A walnut is a wrinkled brown nut with a rich earthy taste.,「核桃」是表面皺褶的棕色堅果，味道濃郁帶土味。,Walnuts are great in banana bread.,核桃加在香蕉麵包裡很棒。,walnut_1397924728921.jpg,walnut.mp3,,
bacon,beɪk(ə)n,培根,Bacon is thin strips of salted smoked pork belly often fried until crisp.,「培根」是醃製煙燻的豬五花肉薄片，常煎至酥脆。,He cooked bacon for a hearty breakfast.,他煎培根當豐盛早餐。,bacon_1397924728921.jpg,bacon.mp3,,
beef,biːf,牛肉,Beef is meat from cows used in burgers steaks and stews.,「牛肉」是來自牛的肉，常用於漢堡、牛排和燉菜。,She grilled a beef steak for dinner.,她晚餐烤了一塊牛排。,beef_1397924728921.jpg,beef.mp3,,
chicken,ʧɪkɪn,雞肉,Chicken is meat from chickens commonly baked fried or grilled.,「雞肉」是來自雞的肉，常烘烤、油炸或燒烤。,We ordered grilled chicken with rice.,我們點了烤雞配飯。,chicken_1397924728921.jpg,chicken.mp3,,
crab,kræb,螃蟹,Crab is seafood from a shellfish with claws and ten legs.,「螃蟹」是帶鉗子和十隻腳的甲殼類海鮮。,Steamed crab with butter is a summer favorite.,蒸螃蟹配奶油是夏季最受歡迎的菜。,crab_1397924728921.jpg,crab.mp3,,
lobster,lɔbstə,龍蝦,A lobster is a large sea creature with a hard shell and big claws often boiled and eaten.,「龍蝦」是帶硬殼和大鉗的大型海洋生物，常煮熟食用。,Lobster tails are expensive but delicious.,龍蝦尾昂貴但美味。,lobster_1397924728921.jpg,lobster.mp3,,
oyster,ɔɪstə,牡蠣,An oyster is a shellfish often eaten raw or cooked known for its briny taste.,「牡蠣」是常生食或烹煮的貝類，以其鹹鮮味聞名。,He slurped down an oyster at the seafood bar.,他在海鮮吧吸食了一顆生蠔。,oyster_1397924728921.jpg,oyster.mp3,,
pork,pɔːk,豬肉,Pork is meat from pigs used in chops ribs and sausages.,「豬肉」是來自豬的肉，常用於豬排、肋排和香腸。,She slow-cooked pork shoulder for tacos.,她用慢火煮豬肩肉做塔可。,pork_1397924728921.jpg,pork.mp3,,
salmon,sæmən,鮭魚,Salmon is a pink-fleshed fish rich in omega-3 fats often grilled or smoked.,「鮭魚」是粉紅色魚肉，富含 Omega-3 脂肪，常烤或煙燻。,Grilled salmon pairs well with lemon and dill.,烤鮭魚搭配檸檬和蒔蘿很美味。,salmon_1397924728921.jpg,salmon.mp3,,
sausage,sɔsɪʤ,香腸,Sausage is ground meat (often pork) stuffed into a casing and seasoned.,「香腸」是絞肉（常為豬肉）填入腸衣並調味製成。,He fried sausage links for breakfast.,他早餐煎香腸。,sausage_1397924728921.jpg,sausage.mp3,,
shrimp,ʃrɪmp,蝦子,Shrimp are small curled sea creatures often boiled grilled or fried.,「蝦」是小型捲曲的海洋生物，常煮、烤或炸。,Shrimp cocktail is a popular appetizer.,蝦仁雞尾酒是受歡迎的開胃菜。,shrimp_1397924728921.jpg,shrimp.mp3,,
broccoli,brɔkəlɪ,青花菜,Broccoli is a green vegetable with a tree-like shape rich in vitamins.,「青花菜」是樹狀綠色蔬菜，富含維生素。,She steamed broccoli as a side dish.,她蒸花椰菜當配菜。,broccoli_1397924728921.jpg,broccoli.mp3,,
cabbage,kæbɪʤ,高麗菜,Cabbage is a leafy vegetable with tightly packed green or purple leaves.,「高麗菜」是葉片緊密包覆的綠色或紫色葉菜。,Coleslaw is made from shredded cabbage.,涼拌捲心菜沙拉是用切碎的高麗菜做的。,cabbage_1397924728921.jpg,cabbage.mp3,,
carrot,kærət,胡蘿蔔,A carrot is an orange root vegetable that’s crunchy and sweet.,「胡蘿蔔」是橙色根莖類蔬菜，口感爽脆香甜。,Bunnies love to munch on carrots.,兔子喜歡啃胡蘿蔔。,carrot_1397924728921.jpg,carrot.mp3,,
celery,sel(ə)rɪ,芹菜,Celery is a crisp pale green vegetable with long stalks.,「芹菜」是淡綠色、脆口、有長莖的蔬菜。,Celery sticks are great with peanut butter.,芹菜條配花生醬很棒。,celery_1397924728921.jpg,celery.mp3,,
cucumber,kjuːkʌmbə,黃瓜,A cucumber is a long green vegetable with watery flesh often used in salads.,「黃瓜」是長條綠色蔬菜，果肉多汁，常用於沙拉。,She added sliced cucumber to her Greek salad.,她在希臘沙拉裡加了切片小黃瓜。,cucumber_1397924728921.jpg,cucumber.mp3,,
garlic,gɑːlɪk,大蒜,Garlic is a strong-flavored bulb used to add flavor to savory dishes.,「大蒜」是味道濃烈的球莖，用於增添鹹食風味。,He minced garlic for the pasta sauce.,他把大蒜剁碎做義大利麵醬。,garlic_1397924728921.jpg,garlic.mp3,,
onion,ʌnjən,洋蔥,An onion is a round vegetable with layers that make you cry when chopped.,「洋蔥」是層狀圓形蔬菜，切時會讓人流淚。,Onions add depth to soups and stews.,洋蔥能讓湯和燉菜更有層次。,onion_1397924728921.jpg,onion.mp3,,
potato,pə'teɪtəu,馬鈴薯,A potato is a starchy underground vegetable often boiled mashed or fried.,「馬鈴薯」是澱粉含量高的地下蔬菜，常煮、搗泥或油炸。,French fries are made from potatoes.,薯條是用馬鈴薯做的。,potato_1397924728921.jpg,potato_1397924728921.mp3,,
pumpkin,pʌmpkɪn,南瓜,A pumpkin is a large orange squash used in pies and jack-o'-lanterns.,「南瓜」是大型橙色南瓜，用於製作派和萬聖節燈籠。,We carved a spooky face into our pumpkin.,我們在南瓜上刻了一張嚇人的臉。,pumkin_1397924728921.jpg,pumpkin.mp3,,
carnation,kɑː'neɪʃ(ə)n,康乃馨,A carnation is a fragrant flower with ruffled petals often pink red or white.,「康乃馨」是花瓣皺褶、芳香的花朵，常為粉紅、紅或白色。,She gave her mom a bouquet of red carnations.,她送媽媽一束紅色康乃馨。,carnation_1397924728921.jpg,carnation.mp3,,
chrysanthemum,krə'sænθɪməm,菊花,A chrysanthemum is a fall-blooming flower with many layered petals.,「菊花」是秋季開花、花瓣多層的花朵。,Chrysanthemums symbolize longevity in some cultures.,菊花在某些文化中象徵長壽。,chrysanthemum_1397924728921.jpg,chrysanthemum_1397924728921.mp3,,
daisy,deɪzɪ,雛菊,A daisy is a simple white flower with a yellow center.,「雛菊」是簡單的白花，中心為黃色。,Children make daisy chains in meadows.,孩子們在草地上編雛菊花環。,daisy_1397924728921.jpg,daisy_1397924728921_1397924728921.mp3,,
lily,lɪlɪ,百合,A lily is an elegant flower with large fragrant petals.,「百合」是優雅的花朵，有大型芳香的花瓣。,Calla lilies are popular in wedding bouquets.,馬蹄蓮常用於新娘捧花。,lily_1397924728921.jpg,lily.mp3,,
lotus,ləutəs,蓮花,A lotus is a sacred water flower that blooms in muddy ponds.,「蓮花」是神聖的水生花卉，在泥濘池塘中綻放。,The lotus symbolizes purity in many Asian cultures.,蓮花在許多亞洲文化中象徵純潔。,lotus_1397924728921.jpg,lotus.mp3,,
